# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.264295196533203125e+01 5.845882743597030640e-02 4.823628234863281250e+01 5.845882743597030640e-02 8.462527394294738770e-01
1.000000000000000000e+03 1.334818371105939150e-04 4.306144063548345002e-08 2.169221697840839624e-04 4.306144063548345002e-08 2.258653985336422920e-04
2.000000000000000000e+03 2.922657178714871407e-03 8.768372936174273491e-05 2.573533449321985245e-03 8.768372936174273491e-05 7.762277033179998398e-03
3.000000000000000000e+03 2.153277091565541923e-05 1.472086186282695053e-08 4.810251266462728381e-05 1.472086186282695053e-08 1.190800539916381240e-04
4.000000000000000000e+03 5.743746442021802068e-05 9.524547408545913640e-07 8.563743176637217402e-05 9.524547408545913640e-07 9.197266772389411926e-04
5.000000000000000000e+03 2.466667501721531153e-04 2.284561378473881632e-05 2.896798541769385338e-04 2.284561378473881632e-05 5.839969031512737274e-03
6.000000000000000000e+03 1.535724586574360728e-04 1.536351010145153850e-05 1.844657817855477333e-04 1.536351010145153850e-05 4.812069702893495560e-03
7.000000000000000000e+03 1.624949945835396647e-04 2.590443727967794985e-06 1.965272822417318821e-04 2.590443727967794985e-06 1.741638639941811562e-03
8.000000000000000000e+03 8.910588803701102734e-05 3.997477506345603615e-06 1.323761098319664598e-04 3.997477506345603615e-06 2.233469858765602112e-03
9.000000000000000000e+03 1.471512496209470555e-05 2.822625866372163728e-08 3.326527439639903605e-05 2.822625866372163728e-08 2.656403812579810619e-04
1.000000000000000000e+04 2.781600232992786914e-05 3.585878857848001644e-06 5.132290971232578158e-05 3.585878857848001644e-06 1.747169182635843754e-03
